1552141800000,3930.35000000,3949.69000000,3923.56000000,3945.15000000,1064.97368300,1552143599999,4193675.30968278,6595,592.84154900,2334800.32296564,0
1552143600000,3945.17000000,3966.00000000,3934.35000000,3943.99000000,1981.49937500,1552145399999,7834689.83945297,10352,1062.33152800,4200362.56226429,0
1552145400000,3943.99000000,3952.00000000,3939.00000000,3950.00000000,987.76950700,1552147199999,3897601.25634210,4577,549.33198600,2167660.98190692,0
1552147200000,3950.75000000,3971.75000000,3935.05000000,3936.58000000,1558.43566000,1552148999999,6165619.47435086,8902,641.63925100,2538743.19074298,0
1552149000000,3936.37000000,3941.84000000,3918.40000000,3923.07000000,1102.47645000,1552150799999,4334552.28570450,6855,522.53311100,2054283.17106699,0
1552150800000,3923.07000000,3926.61000000,3890.00000000,3916.87000000,1912.74540200,1552152599999,7482787.75924467,7395,1037.18536000,4058333.05785744,0
1552152600000,3916.73000000,3918.97000000,3909.00000000,3914.14000000,788.56904700,1552154399999,3086432.39665534,3893,491.36461000,1923031.59505253,0
1552154400000,3914.16000000,3933.30000000,3910.25000000,3926.70000000,677.32193300,1552156199999,2657351.43595999,4301,427.88536500,1678596.26332696,0
1552156200000,3925.33000000,3929.61000000,3916.77000000,3929.60000000,356.29284300,1552157999999,1397926.19595160,3303,172.14515200,675415.75196863,0
1552158000000,3929.57000000,3931.55000000,3919.10000000,3926.35000000,299.98390800,1552159799999,1177767.86003533,2902,146.88349900,576705.12110528,0
1552159800000,3925.42000000,3935.03000000,3923.00000000,3928.58000000,324.94836400,1552161599999,1276832.68060281,2916,205.37832000,807043.52273720,0
1552161600000,3928.06000000,3930.04000000,3915.50000000,3918.67000000,348.94208400,1552163399999,1368948.47601935,3000,157.22247700,616863.53264320,0
1552163400000,3919.04000000,3923.45000000,3910.72000000,3913.36000000,317.17568600,1552165199999,1242830.43891354,3077,175.41946100,687379.13966721,0
1552165200000,3913.36000000,3923.95000000,3911.84000000,3919.30000000,231.23505700,1552166999999,905918.09071266,2629,120.95879500,473907.63262828,0
1552167000000,3919.89000000,3920.00000000,3911.84000000,3915.56000000,264.22328100,1552168799999,1034797.43101811,2503,143.93012100,563715.67913502,0
1552168800000,3914.41000000,3918.49000000,3906.36000000,3916.70000000,344.78846900,1552170599999,1349668.31390273,3284,175.63073600,687580.28039895,0
1552170600000,3918.24000000,3931.97000000,3916.70000000,3924.04000000,489.08585000,1552172399999,1920390.99518394,3978,245.84731900,965316.63640352,0
1552172400000,3925.64000000,3933.85000000,3923.75000000,3932.47000000,361.96598000,1552174199999,1422196.19487814,3575,175.55959000,689820.18996363,0
1552174200000,3932.20000000,3946.45000000,3926.00000000,3943.04000000,528.69259600,1552175999999,2080938.87833399,4275,305.40499600,1202103.04956728,0
1552176000000,3943.43000000,3943.43000000,3921.45000000,3931.58000000,665.50361700,1552177799999,2616358.45969918,4646,341.11583400,1341343.69604893,0
1552177800000,3931.56000000,3931.70000000,3924.99000000,3928.83000000,409.26478100,1552179599999,1607536.54015613,3399,208.89347000,820588.24804397,0
1552179600000,3929.45000000,3934.33000000,3925.89000000,3931.28000000,544.31148100,1552181399999,2139181.93430906,3444,343.06023200,1348291.90393153,0
1552181400000,3931.92000000,3940.00000000,3928.75000000,3937.04000000,396.67789200,1552183199999,1561221.20061666,3259,196.98802600,775246.32212613,0
1552183200000,3937.90000000,3938.27000000,3928.91000000,3929.25000000,421.15821300,1552184999999,1657535.48602502,3386,225.03442000,885719.79649352,0
1552185000000,3929.23000000,3932.28000000,3923.01000000,3928.70000000,496.48840100,1552186799999,1950746.14420840,3646,246.02604100,966652.08279376,0
1552186800000,3928.31000000,3929.00000000,3916.12000000,3924.05000000,604.45328200,1552188599999,2370951.26558680,4446,304.54299900,1194644.72393118,0
1552188600000,3924.31000000,3926.75000000,3916.29000000,3925.50000000,623.50327500,1552190399999,2445028.03218797,4075,342.35349400,1342616.05337042,0
1552190400000,3925.50000000,3925.74000000,3911.93000000,3918.98000000,590.96278100,1552192199999,2315018.26149361,3877,292.88448700,1147428.19088701,0
1552192200000,3918.99000000,3921.99000000,3910.00000000,3919.69000000,572.28209000,1552193999999,2241168.57613861,3937,308.03140300,1206456.86385733,0
1552194000000,3918.70000000,3920.50000000,3914.83000000,3918.20000000,486.35662100,1552195799999,1905575.63915792,3104,298.26513000,1168689.50045977,0
1552195800000,3917.76000000,3920.00000000,3912.07000000,3919.43000000,498.48303200,1552197599999,1952457.83141230,3440,266.66334800,1044524.11494554,0
1552197600000,3918.54000000,3919.45000000,3891.92000000,3896.21000000,1064.83932200,1552199399999,4159037.25800186,6411,524.82195900,2049716.07028455,0
1552199400000,3895.94000000,3909.90000000,3893.00000000,3898.74000000,773.26563000,1552201199999,3017495.83099980,4361,424.57531700,1656689.96924772,0
1552201200000,3898.02000000,3905.69000000,3891.77000000,3897.90000000,777.61871000,1552202999999,3031990.48256405,4212,360.65211800,1406424.23959329,0
1552203000000,3898.37000000,3904.30000000,3881.69000000,3902.00000000,912.41359300,1552204799999,3554073.32976850,4913,433.45312300,1689214.51207242,0
1552204800000,3901.98000000,3915.32000000,3899.31000000,3914.67000000,540.74884400,1552206599999,2112992.87317866,3696,325.96173500,1273737.70063577,0
1552206600000,3914.67000000,3918.00000000,3905.21000000,3907.58000000,543.38270200,1552208399999,2126148.82934152,3576,263.88495000,1032584.43160956,0
1552208400000,3906.21000000,3914.27000000,3902.12000000,3906.26000000,435.83254700,1552210199999,1703231.40061185,3531,244.52594700,955654.10756711,0
1552210200000,3906.98000000,3907.05000000,3891.73000000,3899.00000000,524.98522000,1552211999999,2047038.62051784,3976,285.84713000,1114704.36974660,0
1552212000000,3898.40000000,3908.02000000,3894.08000000,3907.03000000,377.27906100,1552213799999,1471870.45857378,3185,210.61249900,821621.79225547,0
1552213800000,3907.02000000,3907.90000000,3898.03000000,3902.82000000,357.48140400,1552215599999,1395724.31328893,2935,212.07982900,828058.09005783,0
1552215600000,3901.85000000,3915.07000000,3900.42000000,3913.88000000,550.01839000,1552217399999,2150307.08258213,3159,400.49047100,1565885.72884900,0
1552217400000,3913.41000000,3915.77000000,3903.46000000,3904.99000000,340.13931000,1552219199999,1329975.99805837,2709,173.28025800,677558.02198369,0
1552219200000,3904.97000000,3916.69000000,3902.74000000,3907.68000000,434.64359000,1552220999999,1699530.51675857,3160,272.00764500,1063602.86192112,0
1552221000000,3907.68000000,3909.97000000,3901.16000000,3905.01000000,358.48893600,1552222799999,1400086.30119326,3051,177.87475000,694727.43328767,0
1552222800000,3904.53000000,3905.95000000,3896.77000000,3901.08000000,392.95069400,1552224599999,1532977.01766292,3384,187.95080200,733245.90254633,0
1552224600000,3902.00000000,3903.69000000,3886.45000000,3893.00000000,458.42557600,1552226399999,1786738.29022830,3581,224.21734800,874150.41196244,0
1552226400000,3893.00000000,3909.00000000,3890.94000000,3908.94000000,543.88665600,1552228199999,2121473.92654466,3669,301.30835200,1175456.41906655,0
1552228200000,3908.94000000,3912.87000000,3903.45000000,3911.04000000,404.67889600,1552229999999,1581833.92332858,3091,247.23713500,966478.30653199,0
1552230000000,3911.06000000,3914.60000000,3904.53000000,3910.15000000,437.93722700,1552231799999,1712412.90519232,3335,210.13951100,821694.48919933,0
1552231800000,3910.15000000,3915.00000000,3903.00000000,3905.92000000,404.01321700,1552233599999,1579562.08659314,3479,235.28089700,919894.63688427,0
1552233600000,3905.92000000,3912.48000000,3889.47000000,3899.90000000,681.70250200,1552235399999,2658901.96132949,4757,410.71624500,1602348.47614616,0
1552235400000,3899.90000000,3901.98000000,3893.70000000,3899.85000000,542.85004400,1552237199999,2116301.21667171,3474,305.22398300,1189907.54862913,0
1552237200000,3899.85000000,3913.94000000,3898.28000000,3907.94000000,477.36314900,1552238999999,1865358.60462099,3520,272.26938000,1063922.18033165,0
1552239000000,3907.97000000,3911.08000000,3903.10000000,3906.59000000,382.60440800,1552240799999,1494759.71864737,2985,245.93477600,960857.01722224,0
1552240800000,3906.26000000,3908.27000000,3900.56000000,3902.29000000,367.53122100,1552242599999,1434971.00937038,3064,170.31981700,665102.06722977,0
1552242600000,3902.26000000,3905.46000000,3896.71000000,3903.62000000,363.90349700,1552244399999,1419896.32541827,3003,172.61724500,673580.21521014,0
1552244400000,3903.55000000,3905.39000000,3900.01000000,3901.27000000,358.49399800,1552246199999,1399277.79796673,3034,202.75043800,791417.45642722,0
1552246200000,3901.94000000,3907.00000000,3899.01000000,3904.32000000,347.07901700,1552247999999,1354267.47644503,2838,192.90138100,752754.15465437,0
1552248000000,3904.10000000,3916.00000000,3901.12000000,3912.02000000,452.68259100,1552249799999,1769864.74118564,3340,245.23205300,958963.74600121,0
1552249800000,3912.00000000,3918.36000000,3909.50000000,3915.45000000,284.85947400,1552251599999,1114732.64507574,2622,165.30680400,646936.23567293,0
1552251600000,3916.51000000,3924.20000000,3915.05000000,3918.07000000,356.01520700,1552253399999,1395298.59087199,3352,175.93044400,689494.60978248,0
1552253400000,3918.07000000,3922.67000000,3913.18000000,3917.39000000,253.28127200,1552255199999,992161.19453919,2725,150.89979000,591121.33065214,0
1552255200000,3918.22000000,3921.55000000,3914.14000000,3920.98000000,218.39428900,1552256999999,855705.10839592,2341,104.78951100,410615.90222100,0
